"Ad report (Mar 14, 2014-Oct 19, 2014)",,,,,,,,,,,,,,,,,,,,,,,
Ad state,Ad,Description line 1,Description line 2,Display URL,Destination URL,Campaign,Ad group,Status,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Ad ID,SU,FTE ,FTC,Imp-SU,Clicks-SU,Click-FTC,FTE Conversion%,FTC Conversion%
enabled,Free Mass Email Sender,Send Mass Email w/ Ease. Looks,Great On Any Device & It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Sender - Mass,approved,20,254,7.87%,16.8,335.91,1.5,39294314017,8,3,#N/A,3.15%,40.00%,#N/A,37.50%,#N/A
enabled,Free Sign Up Form Creator,Easily Capture Online Leads w/ Free,Customizable Sign Up Forms. Try Us!,VerticalResponse.com/SignUpForms,http://www.verticalresponse.com,VR Nonbranded - AU,Sign Up Form - Create,approved,0,0,0.00%,0,0,0,40497350137,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Building an Email List?,Easily Build Your Email List with,Customizable Sign Up Forms. Try Us!,VerticalResponse.com/SignUpForms,http://www.verticalresponse.com,VR Nonbranded - UK,Build Email List - How To,approved,0,0,0.00%,0,0,0,40497432937,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Building an Email List?,Build an Email List By Collecting,New Readers w/ Custom Sign Up Form!,VerticalResponse.com/SignUpForms,http://www.verticalresponse.com,VR Nonbranded - UK,Build Email List - How To,approved,0,0,0.00%,0,0,0,40497433057,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,VerticalResponseå¨,Powerful Email Marketing Software,w/ Social Media Integration!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Branded - ROW,VerticalResponse - Social,approved,4,15,26.67%,0.12,0.46,1,12494281897,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send Email Flyers Free,Send Bulk Email Flyers to your List,all at once. Easy to Use and Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Email Flyer,approved,11,393,2.80%,2.93,32.28,1.6,39149139697,1,#N/A,#N/A,0.25%,9.09%,#N/A,#N/A,#N/A
enabled,Free Mass Email Sender,Send Mass Email w/ Ease. Looks,Great On Any Device & It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Email Sender - Mass,approved,10,127,7.87%,4.14,41.39,1.3,39301544017,2,#N/A,#N/A,1.57%,20.00%,#N/A,#N/A,#N/A
enabled,{KeyWord:Try Email Marketing Free},Email Marketing Gets Results. Drag,& Drop Email Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Marketing - Geo Location,approved,3,747,0.40%,8.58,25.75,2.2,39147831217,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free Drip Email Marketing,Quickly Create & Send Drip Emails.,Drag & Drop. No Expertise Needed!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Marketing - Drip,approved,0,1,0.00%,0,0,1,39148446217,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Email Newsletter Blast,Email Newsletters Get Results. No,Contracts. Free Templates. Try Us!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Newsletter Blast - Free,approved,0,0,0.00%,0,0,0,39301609537,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
